Blueberry,220,68,97,79,134,247,#4F86F7
Bluebonnet,240,88,94,28,28,240,#1C1CF0
Blush,342,58,87,222,93,131,#DE5D83
Bole,9,51,47,121,68,59,#79443B
Bondi blue,191,100,71,0,149,182,#0095B6
Bone,39,11,89,227,218,201,#E3DAC9
Booger Buster,63,53,89,221,226,106,#DDE26A
Boston University Red,0,100,80,204,0,0,#CC0000
Bottle green,164,100,42,0,106,78,#006A4E
Boysenberry,328,63,53,135,50,96,#873260
Brandeis blue,214,100,100,0,112,255,#0070FF
Brass,52,64,71,181,166,66,#B5A642
Brick red,352,68,80,203,65,84,#CB4154
Bright cerulean,194,86,84,29,172,214,#1DACD6
Bright green,96,100,100,102,255,0,#66FF00
Bright lavender,272,35,89,191,148,228,#BF94E4
Bright lilac,285,39,94,216,145,239,#D891EF
Bright maroon,346,83,76,195,33,72,#C32148
Bright navy blue,210,88,82,25,116,210,#1974D2
Bright pink,330,100,100,255,0,127,#FF007F
Bright turquoise,177,97,91,8,232,222,#08E8DE
Bright ube,281,31,91,209,159,232,#D19FE8
Bright Yellow (Crayola),37,89,100,255,170,29,#FFAA1D
Brilliant azure,210,80,100,51,153,255,#3399FF
Brilliant lavender,290,27,100,244,187,255,#F4BBFF
Brilliant rose,332,67,100,255,85,163,#FF55A3
Brink pink,348,62,98,251,96,127,#FB607F
British racing green,154,100,26,0,66,37,#004225
Bronze,30,76,80,205,127,50,#CD7F32
Bronze Yellow,58,100,45,115,112,0,#737000
Brown (traditional),30,100,59,150,75,0,#964B00
Brown (web),0,75,65,165,42,42,#A52A2A
Brown-nose,28,67,42,107,68,35,#6B4423
Brown Sugar,20,56,69,175,110,77,#AF6E4D
Brown Yellow,30,50,80,204,153,102,#cc9966
Brunswick green,162,65,30,27,77,62,#1B4D3E
Bubble gum,349,24,100,255,193,204,#FFC1CC
Bubbles,183,9,100,231,254,255,#E7FEFF
Bud green,102,47,71,123,182,97,#7BB661
Buff,49,46,94,240,220,130,#F0DC82
Bulgarian rose,359,92,28,72,6,7,#480607
Burgundy,345,100,50,128,0,32,#800020
Burlywood,34,39,87,222,184,135,#DEB887
Burnished Brown,8,28,63,161,122,116,#A17A74
Burnt orange,25,100,80,204,85,0,#CC5500
Burnt sienna,14,65,91,233,116,81,#E97451
Burnt umber,9,74,54,138,51,36,#8A3324
Byzantine,311,73,74,189,51,164,#BD33A4
Byzantium,311,63,44,112,41,99,#702963
Cadet,199,27,45,83,104,114,#536872
Cadet blue,182,41,63,95,158,160,#5F9EA0
Cadet grey,205,18,69,145,163,176,#91A3B0
Cadmium green,154,100,42,0,107,60,#006B3C
Cadmium orange,28,81,93,237,135,45,#ED872D
Cadmium red,351,100,89,227,0,34,#E30022
Cadmium yellow,58,100,100,255,246,0,#FFF600
Café au lait,26,45,65,166,123,91,#A67B5B
Café noir,30,56,29,75,54,33,#4B3621
Cal Poly green,137,61,30,30,77,43,#1E4D2B
Cambridge Blue,140,16,76,163,193,173,#A3C1AD
Camel,33,45,76,193,154,107,#C19A6B
Cameo pink,340,22,94,239,187,204,#EFBBCC
Camouflage green,91,20,53,120,134,107,#78866B
Canary,60,40,100,255,255,153,#FFFF99
Canary yellow,56,100,100,255,239,0,#FFEF00
Candy apple red,2,100,100,255,8,0,#FF0800
Candy pink,355,50,89,228,113,122,#E4717A
Capri,195,100,100,0,191,255,#00BFFF
Caput mortuum,7,64,35,89,39,32,#592720
Cardinal,350,85,77,196,30,58,#C41E3A
Caribbean green,165,100,80,0,204,153,#00CC99
Carmine,350,100,59,150,0,24,#960018
Carmine (M&P),342,100,84,215,0,64,#D70040
Carmine pink,4,72,92,235,76,66,#EB4C42
Carmine red,347,100,100,255,0,56,#FF0038
Carnation pink,336,35,100,255,166,201,#FFA6C9
Carnelian,0,85,70,179,27,27,#B31B1B
Carolina blue,204,59,83,86,160,211,#56A0D3
Carrot orange,33,86,93,237,145,33,#ED9121
Castleton green,164,100,34,0,86,63,#00563F
Catalina blue,221,95,47,6,42,120,#062A78
Catawba,348,52,44,112,54,66,#703642
Cedar Chest,8,64,79,201,90,73,#C95A49
Ceil,225,29,81,146,161,207,#92A1CF
Celadon,123,24,88,172,225,175,#ACE1AF
Celadon blue,196,100,65,0,123,167,#007BA7
Celadon green,174,64,52,47,132,124,#2F847C
Celeste,180,30,100,178,255,255,#B2FFFF
Celestial blue,205,65,82,73,151,208,#4997D0
Cerise,343,78,87,222,49,99,#DE3163
Cerise pink,336,75,93,236,59,131,#EC3B83
Cerulean,196,100,65,0,123,167,#007BA7
Cerulean blue,224,78,75,42,82,190,#2A52BE
Cerulean frost,208,44,76,109,155,195,#6D9BC3
CG Blue,196,100,65,0,122,165,#007AA5
CG Red,4,78,88,224,60,49,#E03C31
Chamoisee,26,44,63,160,120,90,#A0785A
Champagne,37,17,97,247,231,206,#F7E7CE
Champagne pink,25,14,95,241,221,207,#F1DDCF
Charcoal,204,32,31,54,69,79,#36454F
Charleston green,180,19,17,35,43,43,#232B2B
Charm pink,340,38,90,230,143,172,#E68FAC
Chartreuse (traditional),68,100,100,223,255,0,#DFFF00
Chartreuse (web),90,100,100,127,255,0,#7FFF00
Cherry,343,78,87,222,49,99,#DE3163
Cherry blossom pink,348,28,100,255,183,197,#FFB7C5
Chestnut,10,64,58,149,69,53,#954535
China pink,333,50,87,222,111,161,#DE6FA1
China rose,340,52,66,168,81,110,#A8516E
Chinese red,11,82,67,170,56,30,#AA381E
Chinese violet,296,29,53,133,96,136,#856088
Chlorophyll green,103,100,100,74,255,0,#4AFF00
Chocolate (traditional),31,100,48,123,63,0,#7B3F00
Chocolate (web),25,86,82,210,105,30,#D2691E
Chrome yellow,39,100,100,255,167,0,#FFA700
Cinereous,12,19,60,152,129,123,#98817B
Cinnabar,5,77,89,227,66,52,#E34234
Cinnamon[citation needed],25,86,82,210,105,30,#D2691E
Cinnamon Satin,343,53,80,205,96,126,#CD607E
Citrine,54,96,89,228,208,10,#E4D00A
Citron,64,82,66,158,169,31,#9FA91F
Claret,343,82,50,127,23,52,#7F1734
Classic rose,326,19,98,251,204,231,#FBCCE7
Cobalt Blue,215,100,67,0,71,171,#0047AB
Cocoa brown,25,86,82,210,105,30,#D2691E
Coconut,19,59,59,150,90,62,#965A3E
Coffee,25,50,44,111,78,55,#6F4E37
Columbia Blue,200,13,89,196,216,226,#C4D8E2
Congo pink,5,51,97,248,131,121,#F88379
Cool Black,212,100,38,0,46,99,#002E63
Cool grey,229,19,67,140,146,172,#8C92AC
Copper,29,72,72,184,115,51,#B87333
Copper (Crayola),18,53,85,218,138,103,#DA8A67
Copper penny,5,39,68,173,111,105,#AD6F69
Copper red,14,60,80,203,109,81,#CB6D51
Copper rose,0,33,60,153,102,102,#996666
Coquelicot,13,100,100,255,56,0,#FF3800
Coral,16,69,100,255,127,80,#FF7F50
Coral pink,5,51,97,248,131,121,#F88379
Coral red,0,75,100,255,64,64,#FF4040
Coral Reef,6,57,99,253,124,110,#FD7C6E
Cordovan,355,54,54,137,63,69,#893F45
Corn,54,63,98,251,236,93,#FBEC5D
Cornell Red,0,85,70,179,27,27,#B31B1B
Cornflower blue,219,58,93,100,149,237,#6495ED
Cornsilk,48,14,100,255,248,220,#FFF8DC
Cosmic Cobalt,241,67,53,46,45,136,#2E2D88
Cosmic latte,43,9,100,255,248,231,#FFF8E7
Coyote brown,62,52,51,129,97,60,#81613e
Cotton candy,334,26,100,255,188,217,#FFBCD9
Cream,57,18,100,255,253,208,#FFFDD0
Crimson,348,91,86,220,20,60,#DC143C
Crimson glory,344,100,75,190,0,50,#BE0032
Crimson red,0,100,60,153,0,0,#990000
Cultured,0,0,96,245,245,245,#F5F5F5
Cyan,180,100,100,0,255,255,#00FFFF
Cyan azure,209,57,71,78,130,180,#4E82b4
Cyan-blue azure,210,63,75,70,130,191,#4682BF
Cyan cobalt blue,215,74,61,40,88,156,#28589C
Cyan cornflower blue,199,88,76,24,139,194,#188BC2
Cyan (process),193,100,92,0,183,235,#00B7EB
Cyber grape,263,47,49,88,66,124,#58427C
Cyber yellow,50,100,100,255,211,0,#FFD300
Daffodil,60,81,100,255,255,49,#FFFF31
Dandelion,55,80,94,240,225,48,#F0E130
Dark blue,240,100,55,0,0,139,#00008B
Dark blue-gray,240,33,60,102,102,153,#666699
Dark brown,30,67,40,101,67,33,#654321
Dark brown-tangelo,24,43,53,136,101,78,#88654E
Dark byzantium,315,39,36,93,57,84,#5D3954
Dark candy apple red,0,100,64,164,0,0,#A40000
Dark cerulean,209,94,49,8,69,126,#08457E
Dark chestnut,10,37,60,152,105,96,#986960
Dark coral,10,66,80,205,91,69,#CD5B45
Dark cyan,180,100,55,0,139,139,#008B8B
Dark electric blue,206,31,47,83,104,120,#536878
Dark goldenrod,43,94,72,184,134,11,#B8860B
Dark gray (X11),0,0,66,169,169,169,#A9A9A9
Dark green,158,98,20,1,50,32,#013220
Dark green (X11),120,100,39,0,100,0,#006400
Dark gunmetal,202,26,16,31,38,42,#006400
